,AD,Full-flowering date (DOY),Full-flowering date,Source code,Data type code,Reference Name,trendline_degree1,trendline_degree2,trendline_degree3,trendline_degree4
980,1781,91,401,4,3,MYOHOIN-HINAMIKI,104.10751401403054,104.30294036345643,105.25658319394631,106.6702939379864
981,1782,109,419,4,2,TERUYOSHI-KOKI,104.10600044512508,104.29234316849434,105.2424312117792,106.66331951447245
982,1783,103,413,3,1,SUGIURAKE-NIKKI,104.10448687621962,104.2817148023038,105.22818061301837,106.65613014101126
983,1784,105,414,3,1,SUGIURAKE-NIKKI,104.10297330731417,104.27105526488482,105.21383118284017,106.64872431239422
984,1785,108,418,3,1,SUGIURAKE-NIKKI,104.10145973840872,104.26036455623739,105.19938270642115,106.64110051948268
985,1786,106,416,3,1,SUGIURAKE-NIKKI,104.09994616950326,104.24964267636155,105.1848349689378,106.63325724920179
986,1787,105,415,3,1,SUGIURAKE-NIKKI,104.0984326005978,104.23888962525726,105.17018775556654,106.62519298454089
987,1788,109,418,4,1,TERUYOSHI-KOKI,104.09691903169235,104.22810540292453,105.15544085148386,106.616906204558
988,1789,106,416,4,1,KOUKANSIYU-NIKKI,104.0954054627869,104.21729000936337,105.1405940418662,106.60839538437739
989,1790,119,429,4,2,SUGIURAKE-NIKKI,104.09389189388145,104.20644344457376,105.12564711189,106.5996589951879
990,1791,99,409,3,1,SUGIURAKE-NIKKI,104.09237832497598,104.19556570855573,105.11059984673179,106.5906955042446
991,1792,101,410,4,1,TERUYOSHI-KOKI,104.09086475607053,104.18465680130925,105.09545203156799,106.58150337486899
992,1793,106,416,4,2,TERUYOSHI-KOKI,104.08935118716508,104.17371672283434,105.08020345157509,106.57208106645038
993,1794,104,414,3,1,SUGIURAKE-NIKKI,104.08783761825963,104.16274547313098,105.06485389192952,106.56242703444269
994,1795,113,423,4,1,TERUYOSHI-KOKI,104.08632404935416,104.1517430521992,105.04940313780774,106.55253973036469
995,1796,103,412,4,2,SUGIURAKE-NIKKI,104.08481048044871,104.14070946003898,105.03385097438633,106.54241760180236
996,1797,97,407,4,2,TADAYOSHI-KOKI,104.08329691154326,104.1296446966503,105.01819718684159,106.53205909240836
997,1798,110,420,3,1,SUGIURAKE-NIKKI,104.0817833426378,104.11854876203321,105.00244156035008,106.52146264190247
998,1799,103,413,3,1,SUGIURAKE-NIKKI,104.08026977373234,104.10742165618767,104.98658388008823,106.51062668606818
999,1800,103,413,3,1,SUGIURAKE-NIKKI,104.07875620482689,104.0962633791137,104.97062393123254,106.49954965675471
1000,1801,105,415,3,1,SUGIURAKE-NIKKI,104.07724263592144,104.08507393081128,104.95456149895938,106.48822998188012
1001,1802,96,406,4,1,SUGIURAKE-NIKKI,104.07572906701598,104.07385331128043,104.93839636844532,106.47666608542721
1002,1803,110,420,3,1,SUGIURAKE-NIKKI,104.07421549811053,104.06260152052114,104.92212832486682,106.46485638744474
1003,1804,104,413,3,1,SUGIURAKE-NIKKI,104.07270192920507,104.05131855853341,104.90575715340029,106.45279930404723
1004,1805,93,403,3,1,SUGIURAKE-NIKKI,104.07118836029962,104.04000442531725,104.88928263922226,106.44049324741542
1005,1806,114,424,3,1,SUGIURAKE-NIKKI,104.06967479139416,104.02865912087265,104.87270456750912,106.42793662579908
1006,1807,116,426,3,1,SUGIURAKE-NIKKI,104.06816122248871,104.01728264519961,104.8560227234374,106.41512784350863
1007,1808,98,407,3,1,SUGIURAKE-NIKKI,104.06664765358325,104.00587499829814,104.83923689218351,106.40206530092388
1008,1809,107,417,3,1,SUGIURAKE-NIKKI,104.0651340846778,103.99443618016822,104.82234685892392,106.38874739449085
1009,1810,100,410,3,1,SUGIURAKE-NIKKI,104.06362051577234,103.98296619080988,104.80535240883515,106.37517251672267
1010,1811,110,420,3,1,SUGIURAKE-NIKKI,104.06210694686689,103.97146503022309,104.78825332709364,106.36133905619505
1011,1812,120,429,3,1,SUGIURAKE-NIKKI,104.06059337796142,103.95993269840787,104.77104939887577,106.34724539755308
1012,1813,107,417,4,2,SANEHISA-KYOKI,104.05907980905597,103.9483691953642,104.75374040935812,106.33288992150545
1013,1814,113,423,3,1,RAI-SANYO-NIPPU,104.05756624015052,103.9367745210921,104.73632614371708,106.3182710048282
1014,1815,111,421,4,1,SADANAKA-KYOKI,104.05605267124507,103.92514867559157,104.71880638712922,106.30338702036516
1015,1816,103,412,4,1,HARU-NO-NISHIKI,104.0545391023396,103.9134916588626,104.70118092477087,106.28823633702376
1016,1817,110,420,4,1,SADANAKA-KYOKI,104.05302553343415,103.90180347090518,104.68344954181852,106.27281731977695
1017,1818,106,416,4,1,HIRAMATSUKE-NIKKI,104.0515119645287,103.89008411171933,104.6656120234487,106.25712832966673
